Date,Open,High,Low,Close,Adj Close,Volume
1970-01-02,4.847725,4.855544,4.785174,4.792993,0.985620,370896
1970-01-05,4.792993,4.816449,4.730441,4.769536,0.980797,677844
1970-01-06,4.761717,4.761717,4.605339,4.628796,0.951856,567534
1970-01-07,4.644433,4.714804,4.644433,4.652252,0.956679,736995
1970-01-08,4.667890,4.738260,4.667890,4.691347,0.964719,2225374
1970-01-09,4.691347,4.699166,4.574063,4.574063,0.940601,951219
1970-01-12,4.574063,4.589701,4.527150,4.566244,0.938992,647469
1970-01-13,4.566244,4.605339,4.558425,4.581882,0.942208,460422
1970-01-14,4.589701,4.699166,4.589701,4.667890,0.959894,591515
1970-01-15,4.667890,4.706985,4.660071,4.675709,0.961503,428448
1970-01-16,4.675709,4.683528,4.652252,4.652252,0.956679,330928
1970-01-19,4.652252,4.667890,4.566244,4.566244,0.938992,855298
1970-01-20,4.566244,4.589701,4.550606,4.581882,0.942208,575528
1970-01-21,4.581882,4.667890,4.581882,4.628796,0.951856,372494
1970-01-22,4.628796,4.660071,4.613158,4.636615,0.953463,578725
1970-01-23,4.636615,4.652252,4.558425,4.566244,0.938992,610699
1970-01-26,4.566244,4.574063,4.550606,4.566244,0.938992,362902
1970-01-27,4.566244,4.652252,4.566244,4.636615,0.953463,316540
1970-01-28,4.636615,4.691347,4.636615,4.636615,0.953463,698627
1970-01-29,4.636615,4.675709,4.589701,4.589701,0.943815,597909
1970-01-30,4.589701,4.620977,4.527150,4.527150,0.930954,583521
1970-02-02,4.542788,4.620977,4.542788,4.574063,0.940601,1513958
1970-02-03,4.574063,4.597520,4.503693,4.542788,0.934169,842509
1970-02-04,4.542788,4.566244,4.433323,4.542788,0.934169,952818
1970-02-05,4.448961,4.448961,4.323858,4.370772,0.898796,991187
1970-02-06,4.370772,4.425504,4.339496,4.386409,0.902012,334126
1970-02-09,4.386409,4.519331,4.386409,4.386409,0.902012,919246
1970-02-10,4.386409,4.394228,4.316039,4.316039,0.887541,594712
1970-02-11,4.316039,4.433323,4.316039,4.402047,0.905227,575528
1970-02-12,4.386409,4.386409,4.339496,4.378590,0.900404,263784
1970-02-13,4.370772,4.370772,4.269126,4.308220,0.885933,647469
1970-02-16,4.316039,4.370772,4.316039,4.339496,0.892364,642673
1970-02-17,4.316039,4.316039,4.245669,4.292582,0.882717,450830
1970-02-18,4.292582,4.362953,4.292582,4.347315,0.893973,668252
1970-02-19,4.347315,4.394228,4.347315,4.347315,0.893973,684238
1970-02-20,4.347315,4.386409,4.292582,4.292582,0.882717,492396
1970-02-24,4.292582,4.331677,4.284764,4.308220,0.885933,545153
1970-02-25,4.308220,4.370772,4.284764,4.323858,0.889148,554745
1970-02-26,4.323858,4.339496,4.230031,4.300401,0.884325,729002
1970-02-27,4.300401,4.448961,4.300401,4.409866,0.906835,941627
1970-03-02,4.433323,4.519331,4.433323,4.488055,0.922913,545153
1970-03-03,4.488055,4.644433,4.425504,4.628796,0.960558,951219
1970-03-04,4.628796,4.691347,4.628796,4.660071,0.967048,794548
1970-03-05,4.660071,4.714804,4.660071,4.675709,0.970292,705021
1970-03-06,4.675709,4.699166,4.636615,4.652252,0.965424,495593
1970-03-09,4.652252,4.683528,4.574063,4.613158,0.957312,760975
1970-03-10,4.613158,4.628796,4.581882,4.597520,0.954067,394876
1970-03-11,4.597520,4.628796,4.495874,4.495874,0.932974,721008
1970-03-12,4.495874,4.511512,4.456780,4.464598,0.926483,861693
1970-03-13,4.456780,4.456780,4.378590,4.394228,0.911881,666653
1970-03-16,4.394228,4.417685,4.323858,4.323858,0.897277,764173
1970-03-17,4.323858,4.409866,4.316039,4.394228,0.911881,529166
1970-03-18,4.394228,4.409866,4.370772,4.394228,0.911881,418856
1970-03-19,4.394228,4.425504,4.370772,4.386409,0.910258,501988
1970-03-20,4.386409,4.386409,4.355134,4.370772,0.907012,581922
1970-03-23,4.370772,4.448961,4.362953,4.433323,0.919993,679442
1970-03-24,4.448961,4.527150,4.448961,4.488055,0.931351,751383
1970-03-25,4.527150,4.746079,4.527150,4.620977,0.958935,1381266
1970-03-26,4.620977,4.730441,4.613158,4.636615,0.962180,1405247
1970-03-30,4.628796,4.628796,4.566244,4.597520,0.954067,501988
1970-03-31,4.597520,4.628796,4.574063,4.613158,0.957312,501988
1970-04-01,4.620977,4.683528,4.620977,4.660071,0.967048,844107
1970-04-02,4.660071,4.675709,4.620977,4.660071,0.967048,457225
1970-04-03,4.660071,4.691347,4.644433,4.644433,0.963802,633080
1970-04-06,4.644433,4.683528,4.628796,4.660071,0.967048,310145
1970-04-07,4.675709,4.738260,4.675709,4.706985,0.976783,479606
1970-04-08,4.706985,4.746079,4.683528,4.699166,0.975161,759377
1970-04-09,4.699166,4.777355,4.699166,4.746079,0.984896,861693
1970-04-10,4.746079,4.777355,4.691347,4.777355,0.991387,604304
1970-04-13,4.777355,4.816449,4.738260,4.761717,0.988141,420455
1970-04-14,4.761717,4.761717,4.660071,4.667890,0.968670,762574
1970-04-15,4.667890,4.714804,4.660071,4.691347,0.973538,449231
1970-04-16,4.691347,4.730441,4.660071,4.706985,0.976783,767370
1970-04-17,4.706985,4.738260,4.652252,4.738260,0.983273,500389
1970-04-20,4.738260,4.753898,4.660071,4.730441,0.981650,386882
1970-04-21,4.730441,4.785174,4.706985,4.753898,0.986518,308547
1970-04-22,4.746079,4.746079,4.628796,4.644433,0.963802,509981
1970-04-23,4.620977,4.620977,4.566244,4.581882,0.950821,792949
1970-04-24,4.558425,4.558425,4.503693,4.534969,0.941086,610699
1970-04-27,4.534969,4.534969,4.394228,4.417685,0.916748,893667
